case,n,method,repetition,status,bound,corrected_patches,total_seconds
frequency_4_asym_0.15_ripple_0.12,256,adaptive_hybrid,2,certified,0.2606989375787647,3,0.28950430010445416
frequency_4_asym_0.15_ripple_0.12,256,global_polynomial,2,certified,0.2977256203564853,0,0.16903440002352
frequency_4_asym_0.15_ripple_0.12,256,adaptive_polynomial,2,certified,0.29771712544268997,0,0.07405270007438958
frequency_4_asym_0.15_ripple_0.12,1024,adaptive_hybrid,2,certified,0.0713744187371852,0,0.2723190999822691
frequency_4_asym_0.15_ripple_0.12,1024,global_polynomial,2,certified,0.06409358468297169,0,0.6029513999819756
frequency_4_asym_0.15_ripple_0.12,1024,adaptive_polynomial,2,certified,0.0713744187371852,0,0.19829440000467002
frequency_4_asym_0.35_ripple_0,256,adaptive_hybrid,2,certified,0.12289042753431131,0,0.1312795999692753
frequency_4_asym_0.35_ripple_0,256,global_polynomial,2,certified,0.08139274253226321,0,0.1728352999780327
frequency_4_asym_0.35_ripple_0,256,adaptive_polynomial,2,certified,0.12289042753431131,0,0.06091000000014901
frequency_4_asym_0.35_ripple_0,1024,adaptive_hybrid,2,certified,0.019733543040788015,0,0.2196630999678746
frequency_4_asym_0.35_ripple_0,1024,global_polynomial,2,certified,0.019722069776149383,0,0.5881088000023738
frequency_4_asym_0.35_ripple_0,1024,adaptive_polynomial,2,certified,0.019733543040788015,0,0.17981889995280653
frequency_4_asym_0.35_ripple_0.12,256,adaptive_hybrid,2,certified,0.46147227202788205,0,0.10240059997886419
frequency_4_asym_0.35_ripple_0.12,256,global_polynomial,2,certified,0.5527124667351384,0,0.181067300029099
frequency_4_asym_0.35_ripple_0.12,256,adaptive_polynomial,2,certified,0.46147227202788205,0,0.061233800021000206
frequency_4_asym_0.35_ripple_0.12,1024,adaptive_hybrid,2,certified,0.06363460737178421,0,0.34013769996818155
frequency_4_asym_0.35_ripple_0.12,1024,global_polynomial,2,certified,0.0580637527868522,0,0.5950675000203773
frequency_4_asym_0.35_ripple_0.12,1024,adaptive_polynomial,2,certified,0.06363460737178421,0,0.1754918999504298
