case,n,method,scope,rank,epsilon,width,degree,status,residual_upper,distance_upper,bound_upper,bound_lower,cutoff,seconds,reason
skew_strong,256,uncorrected,wide,70,"[75, 1024]",,,above_target,,,,0.4219712366335094,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02935520000755787,
skew_strong,256,uncorrected,wide,71,"[19, 256]",,,above_target,,,,0.42727854212837446,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029351199977099895,
skew_strong,256,uncorrected,wide,72,"[77, 1024]",,,above_target,,,,0.43258009523624885,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029829600010998547,
skew_strong,256,uncorrected,wide,73,"[39, 512]",,,above_target,,,,0.4378683702481136,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029698200058192015,
skew_strong,256,uncorrected,wide,74,"[79, 1024]",,,above_target,,,,0.4431382180409904,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02944240008946508,
skew_strong,256,uncorrected,wide,75,"[5, 64]",,,above_target,,,,0.4484241530870804,"[27473416655753778922589000223, 316912650057057350374175801344]",0.02941560000181198,
skew_strong,256,uncorrected,wide,76,"[41, 512]",,,above_target,,,,0.45898573482369037,"[27473416655753778922589000223, 316912650057057350374175801344]",0.04411479993723333,
skew_strong,256,uncorrected,wide,77,"[21, 256]",,,above_target,,,,0.4694804220678485,"[27473416655753778922589000223, 316912650057057350374175801344]",0.03157560003455728,
skew_strong,256,uncorrected,wide,78,"[43, 512]",,,above_target,,,,0.47991113385792783,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029791800072416663,
skew_strong,256,uncorrected,wide,79,"[11, 128]",,,above_target,,,,0.49028406777115124,"[27473416655753778922589000223, 316912650057057350374175801344]",0.029899699962697923,
skew_strong,256,uncorrected,wide,80,"[45, 512]",,,above_target,,,,0.5005862373046789,"[27473416655753778922589000223, 316912650057057350374175801344]",0.030352699919603765,
skew_strong,256,uncorrected,wide,81,"[23, 256]",,,above_target,,,,0.5108147688365411,"[27473416655753778922589000223, 316912650057057350374175801344]",0.034247599891386926,
skew_strong,256,uncorrected,wide,82,"[47, 512]",,,above_target,,,,0.521037172915494,"[27473416655753778922589000223, 316912650057057350374175801344]",0.031014100066386163,
