case,method,target,repetition,status,n,seconds,bound
holdout_c,refined_corrected,0.12,2,target_certified,17,3.1434361999854445,0.08562696864002456
holdout_c,refined_corrected,0.08,2,target_certified,17,7.795839100028388,0.06258268394859966
holdout_c,refined_corrected,0.04,2,target_certified,33,16.199616899946705,0.03697896964397426
holdout_c,polynomial,0.12,2,target_certified,33,7.383743499987759,0.09106589735829491
holdout_c,polynomial,0.08,2,target_certified,65,15.527482699952088,0.05764890148321384
holdout_c,polynomial,0.04,2,not_reached,,21.42104309995193,
holdout_c,refined_polynomial,0.12,2,target_certified,17,5.778602699982002,0.0620382836610563
holdout_c,refined_polynomial,0.08,2,target_certified,17,5.778602699982002,0.0620382836610563
holdout_c,refined_polynomial,0.04,2,target_certified,33,25.762028399971314,0.03745250195668549
holdout_d,refined_corrected,0.12,2,target_certified,17,3.2327837999910116,0.11908201671921893
holdout_d,refined_corrected,0.08,2,target_certified,17,7.264135600067675,0.07761461683751422
holdout_d,refined_corrected,0.04,2,target_certified,65,29.95207910006866,0.031021374247748857
holdout_d,polynomial,0.12,2,target_certified,33,7.341071999981068,0.10541068724309599
holdout_d,polynomial,0.08,2,target_certified,65,16.26418649998959,0.05642874600365992
holdout_d,polynomial,0.04,2,not_reached,,22.02998580003623,
holdout_d,refined_polynomial,0.12,2,target_certified,17,3.8787769000045955,0.07792382868131167
holdout_d,refined_polynomial,0.08,2,target_certified,17,3.8787769000045955,0.07792382868131167
holdout_d,refined_polynomial,0.04,2,target_certified,65,30.531648400006816,0.029944150097578
