case,n,method,scope,status,epsilon,width,degree,residual_upper,distance_upper,bound_upper,construction_seconds,proposal_seconds,total_seconds,certified,pruned,not_certified
frequency_2_asym_0.15_ripple_0.12,256,polynomial,standard,certified,,5,2,0.1258124367171842,0.0039500539663435185,0.12976249068352771,0.010145500069484115,0.0028210999444127083,0.3580838000634685,1,23,6
frequency_2_asym_0.15_ripple_0.12,256,uncorrected,standard,certified,"[5, 512]",,,0.1259478957383069,0.019808273564294918,0.14575616930260182,0.010145499953068793,0.02713270008098334,1.0980501000303775,2,31,4
frequency_2_asym_0.15_ripple_0.12,256,corrected,standard,certified,"[9, 512]",,,0.18469419476777413,0.004636052787028108,0.18933024755480224,0.010043099988251925,0.027326000039465725,1.1818106999853626,3,30,4
frequency_2_asym_0.15_ripple_0.12,1024,polynomial,standard,certified,,7,2,0.015214567425749432,0.0004833034892097361,0.01569787091495917,0.039036700036376715,0.0038726000348106027,1.6897815000265837,1,28,1
frequency_2_asym_0.15_ripple_0.12,1024,uncorrected,standard,certified,"[1, 256]",,,0.04989913026669835,0.007930709345316532,0.057829839612014884,0.03890219994354993,0.062205899972468615,4.341836499981582,2,35,0
frequency_2_asym_0.15_ripple_0.12,1024,corrected,standard,certified,"[15, 2048]",,,0.03069101887655411,0.0008066483111354163,0.031497667187689524,0.03921810002066195,0.06283489998895675,4.519124799990095,3,33,1
frequency_2_asym_0.35_ripple_0,256,polynomial,standard,certified,,6,2,0.038082936385805455,0.0014142498606059713,0.03949718624641143,0.010048100026324391,0.002716099959798157,0.5358777999645099,4,25,1
frequency_2_asym_0.35_ripple_0,256,uncorrected,standard,certified,"[5, 512]",,,0.10696069030768593,0.02064279422453542,0.12760348453222134,0.010158599936403334,0.026049099978990853,1.134411899955012,1,35,1
frequency_2_asym_0.35_ripple_0,256,corrected,standard,certified,"[15, 512]",,,0.11958402297363131,0.009119275518860825,0.12870329849249215,0.010223100078292191,0.02648189989849925,1.2014376000734046,2,34,1
frequency_2_asym_0.35_ripple_0,1024,polynomial,standard,certified,,7,2,0.009416284797047236,0.00032233499346208855,0.009738619790509325,0.039122499991208315,0.0038952999748289585,3.2416055999929085,13,16,1
frequency_2_asym_0.35_ripple_0,1024,uncorrected,standard,certified,"[5, 1024]",,,0.05896377710162603,0.010365665153701731,0.06932944225532776,0.038147500017657876,0.05918300000485033,4.109505100059323,2,34,1
frequency_2_asym_0.35_ripple_0,1024,corrected,standard,certified,"[3, 256]",,,0.01988334465567727,0.0013617436692803448,0.021245088324957615,0.0390698000555858,0.05938140000216663,4.441198699991219,4,31,2
frequency_2_asym_0.35_ripple_0.12,256,polynomial,standard,certified,,5,2,0.1757446526582047,0.003700446032123355,0.17944509869032804,0.010098199942149222,0.0025086000096052885,0.37269679992459714,1,24,5
frequency_2_asym_0.35_ripple_0.12,256,uncorrected,standard,certified,"[5, 512]",,,0.14820415703429762,0.024598268711761146,0.17280242574605878,0.010077700018882751,0.026515800040215254,0.7257348999846727,1,20,16
frequency_2_asym_0.35_ripple_0.12,256,corrected,standard,certified,"[3, 128]",,,0.31641814415519276,0.01156946871283642,0.3279876128680292,0.010206199949607253,0.026715300045907497,0.8566930999513716,4,16,17
frequency_2_asym_0.35_ripple_0.12,1024,polynomial,standard,certified,,8,3,0.014349446620678651,0.0006125309198964827,0.014961977540575133,0.03897870006039739,0.0038975999923422933,1.6927257999777794,1,28,1
