critic,beta,key,method,variant,bound,seconds
MLP,0.5,2:MLP:bellman:65536:32:8:derivative,Bellman,derivative,0.6906664889538661,88.25077070004772
MLP,0.5,2:MLP:bellman:65536:64:2:lipschitz,Bellman,lipschitz,1.1663453495611975,34.46335699997144
MLP,0.5,2:MLP:bellman:65536:64:2:derivative,Bellman,derivative,1.165242129373837,86.20010660000844
MLP,0.5,2:MLP:bellman:65536:64:8:lipschitz,Bellman,lipschitz,1.1660589577159044,36.56546429998707
MLP,0.5,2:MLP:bellman:65536:64:8:derivative,Bellman,derivative,1.16515748168149,88.30167010001605
Min2,0.0,0:Min2:contact:4096:16:values,Contact,values,0.8543378928943639,64.12633029988501
Min2,0.0,0:Min2:contact:4096:16:filtered,Contact,filtered,0.6724538960324935,165.00452120002592
Min2,0.0,0:Min2:contact:4096:32:values,Contact,values,0.8713820658422264,62.96677660004934
Min2,0.0,0:Min2:contact:4096:32:filtered,Contact,filtered,0.6209037599583098,163.39462680002907
Min2,0.0,0:Min2:contact:4096:64:values,Contact,values,0.9527183193695237,62.45472499990137
Min2,0.0,0:Min2:contact:4096:64:filtered,Contact,filtered,0.6065584623920586,162.684784400044
Min2,0.0,0:Min2:contact:16384:16:values,Contact,values,0.7656398279696077,70.83407240075758
Min2,0.0,0:Min2:contact:16384:16:filtered,Contact,filtered,0.6652457808040708,174.21240160003072
Min2,0.0,0:Min2:contact:16384:32:values,Contact,values,0.7461414002400488,66.1368060997338
Min2,0.0,0:Min2:contact:16384:32:filtered,Contact,filtered,0.6078260948306706,167.7716132000205
Min2,0.0,0:Min2:contact:16384:64:values,Contact,values,0.774328332830919,64.08035030006431
Min2,0.0,0:Min2:contact:16384:64:filtered,Contact,filtered,0.5822634568357898,164.885459800018
Min2,0.0,0:Min2:bellman:16384:16:0:lipschitz,Bellman,lipschitz,0.5682869409383784,62.45671180001227
Min2,0.0,0:Min2:bellman:16384:16:0:derivative,Bellman,derivative,0.5682869409083651,162.50517240003683
Min2,0.0,0:Min2:bellman:16384:32:0:lipschitz,Bellman,lipschitz,0.5865629726795305,62.45206410001265
Min2,0.0,0:Min2:bellman:16384:32:0:derivative,Bellman,derivative,0.5865629726504267,162.49218940001447
Min2,0.0,0:Min2:bellman:16384:64:0:lipschitz,Bellman,lipschitz,0.9660925039506765,62.44920250005089
Min2,0.0,0:Min2:bellman:16384:64:0:derivative,Bellman,derivative,0.9660925038924688,162.48845040000742
Min2,0.0,0:Min2:bellman:65536:16:0:lipschitz,Bellman,lipschitz,0.5647231125149119,64.05267240002286
Min2,0.0,0:Min2:bellman:65536:16:0:derivative,Bellman,derivative,0.5647231124848986,164.09110670001246
Min2,0.0,0:Min2:bellman:65536:32:0:lipschitz,Bellman,lipschitz,0.5796225685971876,64.0226920999703
Min2,0.0,0:Min2:bellman:65536:32:0:derivative,Bellman,derivative,0.5796225685680838,164.06854270002805
Min2,0.0,0:Min2:bellman:65536:64:0:lipschitz,Bellman,lipschitz,0.9533952201836655,64.00846530002309
Min2,0.0,0:Min2:bellman:65536:64:0:derivative,Bellman,derivative,0.9533952201254579,164.0501312999986
Min2,0.25,1:Min2:contact:4096:16:values,Contact,values,0.8659043606912746,64.18057180003962
Min2,0.25,1:Min2:contact:4096:16:filtered,Contact,filtered,0.6874280935016941,165.03275410004426
Min2,0.25,1:Min2:contact:4096:32:values,Contact,values,0.8854281285375691,63.01143080013571
Min2,0.25,1:Min2:contact:4096:32:filtered,Contact,filtered,0.6291761136890273,163.46119450003607
Min2,0.25,1:Min2:contact:4096:64:values,Contact,values,0.9763602691227788,62.45573930023238
Min2,0.25,1:Min2:contact:4096:64:filtered,Contact,filtered,0.6143940756974189,162.6864984999993
Min2,0.25,1:Min2:contact:16384:16:values,Contact,values,0.7776654362023692,70.95185820100596
Min2,0.25,1:Min2:contact:16384:16:filtered,Contact,filtered,0.6794207665416252,174.2797118999879
Min2,0.25,1:Min2:contact:16384:32:values,Contact,values,0.7558850175246334,66.30565549863968
Min2,0.25,1:Min2:contact:16384:32:filtered,Contact,filtered,0.6144204611819077,168.02215610002168
Min2,0.25,1:Min2:contact:16384:64:values,Contact,values,0.7868568124267767,64.06573869893327
Min2,0.25,1:Min2:contact:16384:64:filtered,Contact,filtered,0.5859882572694914,164.86271730001317
Min2,0.25,1:Min2:bellman:16384:16:2:lipschitz,Bellman,lipschitz,0.5540356357951168,62.53193520003697
Min2,0.25,1:Min2:bellman:16384:16:2:derivative,Bellman,derivative,0.5534116871067454,162.57181460002903
Min2,0.25,1:Min2:bellman:16384:16:8:lipschitz,Bellman,lipschitz,0.552658725378933,63.05337410001084
Min2,0.25,1:Min2:bellman:16384:16:8:derivative,Bellman,derivative,0.5520339365921245,163.09382680000272
Min2,0.25,1:Min2:bellman:16384:32:2:lipschitz,Bellman,lipschitz,0.6564552364661722,62.52391889994033
Min2,0.25,1:Min2:bellman:16384:32:2:derivative,Bellman,derivative,0.6560385674792997,162.5632903999649
Min2,0.25,1:Min2:bellman:16384:32:8:lipschitz,Bellman,lipschitz,0.6560506119985803,63.0429843000602
